,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
1553,2017,122,Action,6.9,1974,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,5.511985472154963,6.0200000000000005,6.416216216216216,5.7,6.900000000000001
1553,2017,122, Crime,6.9,1974,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,5.683443708609272,6.0200000000000005,6.416216216216216,5.7,6.900000000000001
1553,2017,122, Thriller,6.9,1974,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,5.674915254237288,6.0200000000000005,6.416216216216216,5.7,6.900000000000001
1554,2015,159,Action,8.0,53997,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,5.511985472154963,7.421428571428572,5.440845070422536,5.8875,8.0
1554,2015,159, Thriller,8.0,53997,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,5.674915254237288,7.421428571428572,5.440845070422536,5.8875,8.0
1555,2008,99,Comedy,2.7,71,Salim Raza,Amit,Satyam Rajesh,Jayesh Shah,5.838422649140546,2.7000000000000006,2.7000000000000006,2.7000000000000006,2.7000000000000006
1555,2008,99, Horror,2.7,71,Salim Raza,Amit,Satyam Rajesh,Jayesh Shah,5.0418918918918925,2.7000000000000006,2.7000000000000006,2.7000000000000006,2.7000000000000006
1555,2008,99, Musical,2.7,71,Salim Raza,Amit,Satyam Rajesh,Jayesh Shah,6.289130434782608,2.7000000000000006,2.7000000000000006,2.7000000000000006,2.7000000000000006
1565,2005,130,Comedy,2.7,202,Govind Menon,Rekha,Mallika Sherawat,Paresh Rawal,5.838422649140546,3.0999999999999996,5.395744680851064,4.753846153846154,5.417142857142857
1565,2005,130, Drama,2.7,202,Govind Menon,Rekha,Mallika Sherawat,Paresh Rawal,5.875793244626407,3.0999999999999996,5.395744680851064,4.753846153846154,5.417142857142857
1565,2005,130, Romance,2.7,202,Govind Menon,Rekha,Mallika Sherawat,Paresh Rawal,5.838738738738739,3.0999999999999996,5.395744680851064,4.753846153846154,5.417142857142857
1566,2008,152,Comedy,6.1,10674,Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu,5.838422649140546,5.966666666666666,6.548780487804878,6.121951219512195,5.6571428571428575
1566,2008,152, Drama,6.1,10674,Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu,5.875793244626407,5.966666666666666,6.548780487804878,6.121951219512195,5.6571428571428575
1566,2008,152, Romance,6.1,10674,Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu,5.838738738738739,5.966666666666666,6.548780487804878,6.121951219512195,5.6571428571428575
1567,1970,133,Action,6.3,31,Kolli Pratyagatma,Sulochana Chatterjee,Pratima Devi,Baby Gayatri,5.511985472154963,6.6000000000000005,6.3,6.475,6.3
1567,1970,133, Comedy,6.3,31,Kolli Pratyagatma,Sulochana Chatterjee,Pratima Devi,Baby Gayatri,5.507605633802817,6.6000000000000005,6.3,6.475,6.3
1567,1970,133, Crime,6.3,31,Kolli Pratyagatma,Sulochana Chatterjee,Pratima Devi,Baby Gayatri,5.683443708609272,6.6000000000000005,6.3,6.475,6.3
1571,2017,120,Drama,8.2,9,Prabhat Kumar,Suvahhdan Angre,Kalpana Bhattarai,Samuel Kamble,6.248697068403909,8.2,7.3999999999999995,8.2,8.2
1573,1984,135,Family,6.2,12,Feroz Chinoy,Sanjeev Kumar,Parveen Babi,Shatrughan Sinha,6.296153846153846,5.677777777777778,6.635087719298245,6.417647058823529,6.177966101694915
1573,1984,135, Thriller,6.2,12,Feroz Chinoy,Sanjeev Kumar,Parveen Babi,Shatrughan Sinha,5.674915254237288,5.677777777777778,6.635087719298245,6.417647058823529,6.177966101694915
1575,2003,118,Thriller,3.3,6,Vicky S. Kumar,Rakesh Bedi,Suresh Chatwal,Avtar Gill,5.332584269662922,3.3,4.86923076923077,5.766666666666667,4.655555555555555
1577,2009,120,Comedy,3.5,17,Varun Khanna,Gaurav Kapoor,Hrishitaa Bhatt,Govind Namdeo,5.838422649140546,3.5,3.5,5.5600000000000005,4.36
1577,2009,120, Crime,3.5,17,Varun Khanna,Gaurav Kapoor,Hrishitaa Bhatt,Govind Namdeo,5.683443708609272,3.5,3.5,5.5600000000000005,4.36
1577,2009,120, Drama,3.5,17,Varun Khanna,Gaurav Kapoor,Hrishitaa Bhatt,Govind Namdeo,5.875793244626407,3.5,3.5,5.5600000000000005,4.36
1583,1973,144,Action,5.0,22,Deven Verma,Ashok Kumar,Deven Verma,Nikhilesh,5.511985472154963,5.416666666666667,6.52970297029703,5.0,5.0
1583,1973,144, Comedy,5.0,22,Deven Verma,Ashok Kumar,Deven Verma,Nikhilesh,5.507605633802817,5.416666666666667,6.52970297029703,5.0,5.0
1583,1973,144, Crime,5.0,22,Deven Verma,Ashok Kumar,Deven Verma,Nikhilesh,5.683443708609272,5.416666666666667,6.52970297029703,5.0,5.0
1584,1951,146,Action,6.7,34,Amiya Chakrabarty,Madhubala,Prem Nath,Purnima,5.511985472154963,6.938461538461539,6.84,6.333333333333333,6.3
1584,1951,146, Romance,6.7,34,Amiya Chakrabarty,Madhubala,Prem Nath,Purnima,5.838738738738739,6.938461538461539,6.84,6.333333333333333,6.3
1585,1966,150,Action,7.0,10,Aspi Irani,Sheikh Mukhtar,L. Vijayalakshmi,Sanjeev Kumar,5.511985472154963,6.185714285714285,6.3428571428571425,6.7,6.795
1585,1966,150, Adventure,7.0,10,Aspi Irani,Sheikh Mukhtar,L. Vijayalakshmi,Sanjeev Kumar,5.694767441860465,6.185714285714285,6.3428571428571425,6.7,6.795
1585,1966,150, Musical,7.0,10,Aspi Irani,Sheikh Mukhtar,L. Vijayalakshmi,Sanjeev Kumar,6.289130434782608,6.185714285714285,6.3428571428571425,6.7,6.795
1586,2000,166,Action,4.9,1281,Raj Kanwar,Bobby Deol,Rani Mukerji,Ashutosh Rana,5.511985472154963,5.064705882352941,4.793617021276596,6.017543859649122,5.7
1586,2000,166, Crime,4.9,1281,Raj Kanwar,Bobby Deol,Rani Mukerji,Ashutosh Rana,5.683443708609272,5.064705882352941,4.793617021276596,6.017543859649122,5.7
1586,2000,166, Drama,4.9,1281,Raj Kanwar,Bobby Deol,Rani Mukerji,Ashutosh Rana,5.875793244626407,5.064705882352941,4.793617021276596,6.017543859649122,5.7
1588,1978,136,Drama,6.7,62,Raghunath Jhalani,Jeetendra,Rishi Kapoor,Reena Roy,6.248697068403909,6.547058823529412,5.3921052631578945,6.368627450980393,5.674358974358975
1588,1978,136, Romance,6.7,62,Raghunath Jhalani,Jeetendra,Rishi Kapoor,Reena Roy,5.838738738738739,6.547058823529412,5.3921052631578945,6.368627450980393,5.674358974358975
1591,1983,146,Drama,6.3,118,Bhappi Sonie,Rishi Kapoor,Tina Ambani,Sarika,6.248697068403909,6.584,6.013207547169811,6.129166666666666,5.605555555555556
1591,1983,146, Action,6.3,118,Bhappi Sonie,Rishi Kapoor,Tina Ambani,Sarika,5.93235294117647,6.584,6.013207547169811,6.129166666666666,5.605555555555556
1591,1983,146, Crime,6.3,118,Bhappi Sonie,Rishi Kapoor,Tina Ambani,Sarika,5.683443708609272,6.584,6.013207547169811,6.129166666666666,5.605555555555556
1592,1999,146,Comedy,3.6,1289,Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal,5.838422649140546,4.3500000000000005,4.634285714285714,4.6,5.417142857142857
1592,1999,146, Drama,3.6,1289,Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal,5.875793244626407,4.3500000000000005,4.634285714285714,4.6,5.417142857142857
1592,1999,146, Romance,3.6,1289,Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal,5.838738738738739,4.3500000000000005,4.634285714285714,4.6,5.417142857142857
1594,1989,138,Drama,6.0,66,Kalpataru,Shammi Kapoor,Rishi Kapoor,Meenakshi Sheshadri,6.248697068403909,5.678947368421053,6.892682926829269,6.368627450980393,5.5826086956521745
1596,1998,140,Action,5.8,2787,David Dhawan,Amitabh Bachchan,Govinda,Raveena Tandon,5.511985472154963,5.275728155339806,6.148872180451128,5.126086956521739,5.5162790697674415
1596,1998,140, Comedy,5.8,2787,David Dhawan,Amitabh Bachchan,Govinda,Raveena Tandon,5.507605633802817,5.275728155339806,6.148872180451128,5.126086956521739,5.5162790697674415
1596,1998,140, Musical,5.8,2787,David Dhawan,Amitabh Bachchan,Govinda,Raveena Tandon,6.289130434782608,5.275728155339806,6.148872180451128,5.126086956521739,5.5162790697674415
1600,2018,124,Comedy,8.0,29518,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,5.838422649140546,5.6,6.996774193548387,7.05,7.2
1600,2018,124, Drama,8.0,29518,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,5.875793244626407,5.6,6.996774193548387,7.05,7.2
1601,2002,155,Comedy,4.5,673,Satish Kaushik,Anil Kapoor,Rana Jung Bahadur,Anang Desai,5.838422649140546,5.027027027027027,5.667692307692307,5.4363636363636365,5.75
1601,2002,155, Drama,4.5,673,Satish Kaushik,Anil Kapoor,Rana Jung Bahadur,Anang Desai,5.875793244626407,5.027027027027027,5.667692307692307,5.4363636363636365,5.75
1601,2002,155, Musical,4.5,673,Satish Kaushik,Anil Kapoor,Rana Jung Bahadur,Anang Desai,6.289130434782608,5.027027027027027,5.667692307692307,5.4363636363636365,5.75
1604,1987,146,Drama,6.9,7,Jugal Debata,Isha Bebarta,Debu Bose,Anu Choudhury,6.248697068403909,6.9,6.9,6.9,6.9
1608,1993,130,Drama,5.4,14,Kalpataru,Asrani,Raj Babbar,Chandrashekhar,6.248697068403909,5.678947368421053,5.133333333333333,5.28,6.164705882352941
1608,1993,130, Family,5.4,14,Kalpataru,Asrani,Raj Babbar,Chandrashekhar,6.327197802197802,5.678947368421053,5.133333333333333,5.28,6.164705882352941
1611,1969,156,Comedy,4.4,11,Narendra Suri,Nanda,Jeetendra,Om Prakash,5.838422649140546,5.828571428571428,6.109090909090909,5.6000000000000005,6.304545454545454
1611,1969,156, Drama,4.4,11,Narendra Suri,Nanda,Jeetendra,Om Prakash,5.875793244626407,5.828571428571428,6.109090909090909,5.6000000000000005,6.304545454545454
1611,1969,156, Romance,4.4,11,Narendra Suri,Nanda,Jeetendra,Om Prakash,5.838738738738739,5.828571428571428,6.109090909090909,5.6000000000000005,6.304545454545454
1612,1945,122,Drama,5.4,9,Master Vinayak,Sitara Devi,Girish,Ishwarlal,6.248697068403909,5.4,5.4,5.4,5.800000000000001
1612,1945,122, War,5.4,9,Master Vinayak,Sitara Devi,Girish,Ishwarlal,6.1466666666666665,5.4,5.4,5.4,5.800000000000001
1614,1986,129,Drama,6.7,7,Shiv Kumar,Sanjeev Kumar,Apeksha,Sadhana Singh,6.248697068403909,5.2,6.635087719298245,6.7,6.1
1616,1974,112,Thriller,6.2,13,Vijay,Shatrughan Sinha,Moushumi Chatterjee,Johnny Walker,5.332584269662922,6.333333333333333,5.342553191489362,6.057894736842105,6.541463414634146
1618,2019,118,Crime,7.8,23890,Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,6.124723247232472,6.293333333333333,6.148872180451128,7.1,5.3025
1618,2019,118, Drama,7.8,23890,Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,5.875793244626407,6.293333333333333,6.148872180451128,7.1,5.3025
1618,2019,118, Mystery,7.8,23890,Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,5.8710204081632655,6.293333333333333,6.148872180451128,7.1,5.3025
1619,1980,134,Action,7.6,11,Kawal Sharma,Rajendra Kumar,Vinod Mehra,Asha Parekh,5.511985472154963,5.086666666666667,6.513999999999999,6.3999999999999995,6.3
1619,1980,134, Drama,7.6,11,Kawal Sharma,Rajendra Kumar,Vinod Mehra,Asha Parekh,5.875793244626407,5.086666666666667,6.513999999999999,6.3999999999999995,6.3
1627,2015,134,Action,7.4,22324,Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,5.511985472154963,7.22,5.178260869565217,6.991666666666667,5.622222222222223
1627,2015,134, Crime,7.4,22324,Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,5.683443708609272,7.22,5.178260869565217,6.991666666666667,5.622222222222223
1627,2015,134, Drama,7.4,22324,Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam,5.875793244626407,7.22,5.178260869565217,6.991666666666667,5.622222222222223
1628,2014,123,Drama,4.7,123,Shailesh Verma,Annu Kapoor,Anupam Maanav,Saranya Mohan,6.248697068403909,4.7,3.625,4.7,4.7
1629,1982,158,Action,4.8,59,Rajkumar Kohli,Sunil Dutt,Dharmendra,Jeetendra,5.511985472154963,5.175,6.346913580246913,6.302469135802469,5.8875
1629,1982,158, Drama,4.8,59,Rajkumar Kohli,Sunil Dutt,Dharmendra,Jeetendra,5.875793244626407,5.175,6.346913580246913,6.302469135802469,5.8875
1633,2010,142,Comedy,6.0,6466,Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,5.838422649140546,6.0,5.779999999999999,6.3500000000000005,6.0
1633,2010,142, Crime,6.0,6466,Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,5.683443708609272,6.0,5.779999999999999,6.3500000000000005,6.0
1633,2010,142, Drama,6.0,6466,Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,5.875793244626407,6.0,5.779999999999999,6.3500000000000005,6.0
1634,1998,119,Action,2.5,25,Goutam Pawar,Jackie Shroff,Shilpa Shirodkar,Paresh Rawal,5.511985472154963,2.5,5.22,4.484615384615385,5.417142857142857
1637,2016,83,Comedy,4.3,30,Soumik Sen,Gulshan Grover,Rishi Kapoor,Farah Khan,5.838422649140546,5.466666666666666,4.975,6.368627450980393,4.3
1637,2016,83, Drama,4.3,30,Soumik Sen,Gulshan Grover,Rishi Kapoor,Farah Khan,5.875793244626407,5.466666666666666,4.975,6.368627450980393,4.3
1639,2015,128,Comedy,4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra,5.838422649140546,5.25,4.6,3.5,4.6
1639,2015,128, Romance,4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra,5.838738738738739,5.25,4.6,3.5,4.6
1645,2019,95,Comedy,7.1,805,Ashwin Shetty,Patralekhaa Paul,Divyendu Sharma,Dolly Ahluwalia,5.838422649140546,7.1,5.233333333333333,6.699999999999999,5.9799999999999995
1649,1971,100,Drama,6.6,10,Prem Kapoor,Nitin Sethi,Nandita Thakur,Nandlal Sharma,6.248697068403909,6.5,6.6,6.6,6.6
1654,2017,139,Comedy,6.1,10865,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,5.838422649140546,5.6625,5.178260869565217,5.7,6.028571428571428
1654,2017,139, Drama,6.1,10865,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,5.875793244626407,5.6625,5.178260869565217,5.7,6.028571428571428
1654,2017,139, Romance,6.1,10865,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,5.838738738738739,5.6625,5.178260869565217,5.7,6.028571428571428
1659,2013,103,Drama,5.9,14,Laxmikant Shetgaonkar,Paoli Dam,Jean Denis Römer,Cedric Cirotteau,6.248697068403909,5.9,5.433333333333334,5.9,5.9
1661,1989,91,Drama,7.7,72,Buddhadev Dasgupta,Pawan Malhotra,M.V. Vasudeva Rao,Archana,6.248697068403909,5.971428571428572,7.633333333333333,7.7,7.175
1663,1982,144,Action,6.4,66,Ramanand Sagar,Dharmendra,Hema Malini,Reena Roy,5.511985472154963,6.764285714285714,6.045128205128205,6.274757281553398,5.674358974358975
1663,1982,144, Romance,6.4,66,Ramanand Sagar,Dharmendra,Hema Malini,Reena Roy,5.838738738738739,6.764285714285714,6.045128205128205,6.274757281553398,5.674358974358975
1666,1938,159,Drama,7.2,8,Abdul Rashid Kardar,Bimla Kumari,B. Nandrekar,Sitara Devi,6.248697068403909,6.654545454545455,7.2,7.2,6.75
1667,2003,181,Drama,7.4,15518,Ravi Chopra,Amitabh Bachchan,Hema Malini,Salman Khan,6.248697068403909,6.055555555555555,6.148872180451128,6.274757281553398,5.6033333333333335
1667,2003,181, Romance,7.4,15518,Ravi Chopra,Amitabh Bachchan,Hema Malini,Salman Khan,5.838738738738739,6.055555555555555,6.148872180451128,6.274757281553398,5.6033333333333335
1684,2019,137,Drama,5.5,6,Karan Kashyap,Raza Murad,Puneet Vashisht,Lalit Parimoo,6.248697068403909,4.933333333333334,5.85,5.5,5.5
1687,1990,145,Family,4.7,63,Tariq Shah,Roopa Ganguly,Ram Mohan,Navin Nischol,6.296153846153846,4.233333333333333,4.7,4.7,5.335714285714286
1701,1951,170,Drama,5.7,18,M.V. Raman,Karan Dewan,Vyjayanthimala,Pran,6.248697068403909,5.70909090909091,5.7,6.886486486486487,6.575409836065574
1704,1966,139,Drama,7.1,93,Shaheed Latif,Mala Sinha,Dharmendra,Tanuja,6.248697068403909,6.628571428571428,6.605405405405405,6.302469135802469,6.673913043478261
1704,1966,139, Romance,7.1,93,Shaheed Latif,Mala Sinha,Dharmendra,Tanuja,5.838738738738739,6.628571428571428,6.605405405405405,6.302469135802469,6.673913043478261
1706,1967,171,Drama,7.6,77,Nasir Hussain,Rajesh Khanna,Asha Parekh,Anwar Hussain,6.248697068403909,6.896,6.575280898876405,6.873529411764705,6.925
1706,1967,171, Romance,7.6,77,Nasir Hussain,Rajesh Khanna,Asha Parekh,Anwar Hussain,5.838738738738739,6.896,6.575280898876405,6.873529411764705,6.925
1707,1968,160,Mystery,7.1,54,Yakub Hasan Rizvi,Meena Kumari,Dharmendra,Rehman,5.854237288135593,6.449999999999999,6.8236842105263165,6.302469135802469,6.759090909090909
1709,2019,120,Comedy,8.8,23,Sanjay Puran Singh Chauhan,Narottam Bain,Aamir Bashir,Pawan Malhotra,5.838422649140546,6.925,8.8,8.8,6.875
1710,1941,156,Drama,6.0,10,Mehboob Khan,Sheikh Mukhtar,Nalini Jaywant,Harish,6.248697068403909,7.0346153846153845,6.3428571428571425,6.566666666666666,5.336363636363636
1714,1967,167,Comedy,6.5,69,M. Sadiq,Ashok Kumar,Pradeep Kumar,Meena Kumari,5.838422649140546,6.227777777777778,6.52970297029703,6.819444444444445,6.8428571428571425
1714,1967,167, Drama,6.5,69,M. Sadiq,Ashok Kumar,Pradeep Kumar,Meena Kumari,5.875793244626407,6.227777777777778,6.52970297029703,6.819444444444445,6.8428571428571425
1714,1967,167, Romance,6.5,69,M. Sadiq,Ashok Kumar,Pradeep Kumar,Meena Kumari,5.838738738738739,6.227777777777778,6.52970297029703,6.819444444444445,6.8428571428571425
1716,1965,132,Drama,6.5,17,T. Prakash Rao,Ashok Kumar,Mala Sinha,Joy Mukherjee,6.248697068403909,6.568181818181818,6.52970297029703,6.5125,6.5
1716,1965,132, Family,6.5,17,T. Prakash Rao,Ashok Kumar,Mala Sinha,Joy Mukherjee,6.327197802197802,6.568181818181818,6.52970297029703,6.5125,6.5
1719,1985,147,Drama,6.3,16,Shashilal K. Nair,Vikas Anand,Bharat Bhushan,B.L. Chopra,6.248697068403909,5.50625,5.364705882352942,6.5120000000000005,6.3
1720,1964,133,Drama,6.8,42,T. Prakash Rao,Guru Dutt,Feroz Khan,Nasir Hussain,6.248697068403909,6.568181818181818,7.55,6.435294117647058,7.025
1724,1954,168,Adventure,6.7,24,S.S. Vasan,Madhubala,Ratan Kumar,Agha,6.181904761904762,6.8875,6.84,7.428571428571429,6.624
1724,1954,168, Drama,6.7,24,S.S. Vasan,Madhubala,Ratan Kumar,Agha,5.875793244626407,6.8875,6.84,7.428571428571429,6.624
1724,1954,168, Fantasy,6.7,24,S.S. Vasan,Madhubala,Ratan Kumar,Agha,5.688695652173913,6.8875,6.84,7.428571428571429,6.624
1725,2020,125,Comedy,7.3,3036,Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal,5.838422649140546,6.449999999999999,6.992307692307692,7.3,5.8999999999999995
1725,2020,125, Crime,7.3,3036,Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal,5.683443708609272,6.449999999999999,6.992307692307692,7.3,5.8999999999999995
1725,2020,125, Drama,7.3,3036,Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal,5.875793244626407,6.449999999999999,6.992307692307692,7.3,5.8999999999999995
1727,1952,165,Drama,7.4,343,Vijay Bhatt,Meena Kumari,Bharat Bhushan,Surendra,6.248697068403909,6.839130434782609,6.8236842105263165,6.5120000000000005,7.400000000000001
1727,1952,165, Musical,7.4,343,Vijay Bhatt,Meena Kumari,Bharat Bhushan,Surendra,6.289130434782608,6.839130434782609,6.8236842105263165,6.5120000000000005,7.400000000000001
1727,1952,165, Romance,7.4,343,Vijay Bhatt,Meena Kumari,Bharat Bhushan,Surendra,5.838738738738739,6.839130434782609,6.8236842105263165,6.5120000000000005,7.400000000000001
1729,2021,72,Family,9.3,29,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur,6.296153846153846,9.3,9.3,9.3,9.3
1733,2013,110,Comedy,5.3,729,Shashant Shah,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey,5.838422649140546,6.442857142857143,4.381818181818182,6.327272727272727,6.464285714285714
1733,2013,110, Drama,5.3,729,Shashant Shah,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey,5.875793244626407,6.442857142857143,4.381818181818182,6.327272727272727,6.464285714285714
1733,2013,110, Thriller,5.3,729,Shashant Shah,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey,5.674915254237288,6.442857142857143,4.381818181818182,6.327272727272727,6.464285714285714
1735,2015,158,Action,7.2,32073,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,5.511985472154963,7.016666666666667,5.51304347826087,6.121951219512195,5.264102564102564
1735,2015,158, Drama,7.2,32073,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,5.875793244626407,7.016666666666667,5.51304347826087,6.121951219512195,5.264102564102564
1735,2015,158, History,7.2,32073,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,6.8769230769230765,7.016666666666667,5.51304347826087,6.121951219512195,5.264102564102564
1739,1976,176,Fantasy,7.7,85,Chandrakant,Dara Singh,Biswajit Chatterjee,Moushumi Chatterjee,6.251612903225807,6.2333333333333325,6.226923076923077,6.416666666666667,6.212000000000001
1740,2015,163,Action,8.0,78448,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,5.511985472154963,6.270588235294118,5.232857142857143,8.0,6.428571428571429
1740,2015,163, Adventure,8.0,78448,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,5.694767441860465,6.270588235294118,5.232857142857143,8.0,6.428571428571429
1740,2015,163, Comedy,8.0,78448,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,5.507605633802817,6.270588235294118,5.232857142857143,8.0,6.428571428571429
1744,1996,163,Action,2.7,113,Prakash Mehra,Bindu Shukla,Puru Rajkumar,Karisma Kapoor,5.511985472154963,6.285365853658536,2.7,3.2399999999999998,4.4437500000000005
1744,1996,163, Drama,2.7,113,Prakash Mehra,Bindu Shukla,Puru Rajkumar,Karisma Kapoor,5.875793244626407,6.285365853658536,2.7,3.2399999999999998,4.4437500000000005
1746,2015,68,Animation,4.2,13,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari,6.0725,3.25,3.25,3.25,3.25
1747,2017,81,Animation,2.3,9,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari,6.0725,3.25,3.25,3.25,3.25
1751,2019,133,Comedy,7.3,12370,Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam,5.838422649140546,7.5,6.996774193548387,7.033333333333333,5.622222222222223
1764,1985,137,Action,5.6,54,S.A. Chandrashekhar,Bindu,Anuradha,Vijay Arora,5.511985472154963,5.708333333333333,5.4875,5.6,6.577777777777778
1764,1985,137, Thriller,5.6,54,S.A. Chandrashekhar,Bindu,Anuradha,Vijay Arora,5.674915254237288,5.708333333333333,5.4875,5.6,6.577777777777778
1766,1971,137,Drama,6.8,16,Ravi Tandon,Manoj Kumar,Saira Banu,Dev Kumar,6.248697068403909,6.716666666666666,5.967741935483871,6.6421052631578945,5.925
1770,1976,111,Comedy,6.9,229,Tarun Majumdar,Sachin Pilgaonkar,Rajni Sharma,Asrani,5.838422649140546,6.983333333333333,7.116666666666667,6.900000000000001,5.92542372881356
1770,1976,111, Drama,6.9,229,Tarun Majumdar,Sachin Pilgaonkar,Rajni Sharma,Asrani,5.875793244626407,6.983333333333333,7.116666666666667,6.900000000000001,5.92542372881356
1770,1976,111, Romance,6.9,229,Tarun Majumdar,Sachin Pilgaonkar,Rajni Sharma,Asrani,5.838738738738739,6.983333333333333,7.116666666666667,6.900000000000001,5.92542372881356
1771,2012,117,Drama,8.1,24,Ajita Suchitra Veera,Ashwath Bhatt,Samiksha Bhatt,Tejaswi Bm,6.248697068403909,8.1,8.1,5.033333333333333,8.1
1772,2017,120,Comedy,7.5,17,Akhilesh Jaiswal,Anil Charanjeett,Abha Parmar,Ankita Shrivastav,5.838422649140546,5.7,7.5,7.5,7.5
1775,1968,176,Fantasy,5.6,8,Chandrakant,Dara Singh,Savitri,Jayshree Gadkar,6.251612903225807,6.2333333333333325,6.226923076923077,7.533333333333334,6.166666666666667
1776,1992,142,Action,4.3,179,Deepak Anand,Sunil Shetty,Divya Bharti,Danny Denzongpa,5.511985472154963,5.574999999999999,4.634285714285714,5.75,5.974
1776,1992,142, Adventure,4.3,179,Deepak Anand,Sunil Shetty,Divya Bharti,Danny Denzongpa,5.694767441860465,5.574999999999999,4.634285714285714,5.75,5.974
1777,2014,136,Comedy,3.6,50,Sunil Agnihotri,Asrani,Gabriela Bertante,Mikhill Chandiramani,5.838422649140546,4.1,5.133333333333333,3.6,3.6
1786,1968,136,Crime,6.0,13,Khwaja Ahmad Abbas,Surekha,Madhavi,David Abraham,6.124723247232472,6.57391304347826,6.0,6.725,6.805555555555555
1786,1968,136, Drama,6.0,13,Khwaja Ahmad Abbas,Surekha,Madhavi,David Abraham,5.875793244626407,6.57391304347826,6.0,6.725,6.805555555555555
1786,1968,136, Romance,6.0,13,Khwaja Ahmad Abbas,Surekha,Madhavi,David Abraham,5.838738738738739,6.57391304347826,6.0,6.725,6.805555555555555
1788,2020,102,Romance,7.2,1533,Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma,5.59874213836478,7.2,7.2,7.2,7.2
1791,2006,122,Musical,6.1,315,Pankaj Parashar,Urmila Matondkar,Ashmit Patel,Dimple Kapadia,6.095555555555555,5.733333333333333,5.705882352941177,4.413333333333333,6.142307692307692
1791,2006,122, Drama,6.1,315,Pankaj Parashar,Urmila Matondkar,Ashmit Patel,Dimple Kapadia,5.875793244626407,5.733333333333333,5.705882352941177,4.413333333333333,6.142307692307692
1792,2009,128,Drama,3.2,24,Nemom Pushparaj,Harisree Asokan,Anoop Chandran,Devan,6.248697068403909,3.2,3.2,3.2,3.66
1794,1997,126,Comedy,4.2,231,David Dhawan,Govinda,Ramya Krishnan,Kader Khan,5.838422649140546,5.275728155339806,4.877443609022556,5.6,5.357575757575757
